label,General Fund,,Grants,,Library,Capital Improvement,Other Governmental Funds,Total Governmental Funds
Cash and investments in treasury,42263745.0,-,13204196.0,9.0,5927965.0,7284171.0,62276084.0,130956161.0
Restricted Cash and investments,24995000.0,-,-,-,-,1000000.0,420125.0,26415125.0
Receivables (net of allowance,-,-,-,-,-,-,-,-
where applicable):,-,-,-,-,-,-,-,-
Accounts,13471563.0,-,156082.0,-,4896.0,-,1990194.0,15222734.0
Interest,607962.0,-,-,-,-,554285.0,271074.0,1433322.0
Taxes,6354840.0,-,-,-,175005.0,-,60295.0,6590141.0
Special assessments,-,-,-,-,-,-,169620.0,169620.0
Subventions/grants,-,-,7510303.0,-,-,-,646451.0,8156754.0
Due from other funds,2415424.0,-,-,-,-,2612346.0,-,5027770.0
Notes receivable,3648330.0,-,25836604.0,-,-,7956246.0,20533498.0,57974679.0
Other,544121.0,-,7779.0,-,-,-,45207.0,597107.0
Total Assets,94300985.0,-,46714964.0,-,6107866.0,19407048.0,86012549.0,252543412.0
LIABILITIES,-,-,-,-,-,-,-,-
Accounts payable,4974024.0,-,618321.0,-,229753.0,392834.0,1344041.0,7558974.0
Accrued salaries and wages,2940866.0,-,281887.0,-,320604.0,17831.0,742496.0,4303683.0
Due to other funds,-,-,4450028.0,-,-,-,482243.0,4932271.0
Deposits held,943212.0,-,-,-,-,12933.0,76814.0,1032958.0
Unearned revenues (grant advance,-,-,180934.0,-,46837.0,-,64795.0,221.0
Tax and revenue anticipation note,24995000.0,-,-,-,-,-,-,24995000.0
Other liabilities,3804895.0,-,22121.0,-,-,-,-,3827017.0
Total Liabilities,37657997.0,-,9953291.0,-,597194.0,423598.0,2710388.0,46942467.0
DEFERRED INFLOWS OF RESOURCES,-,-,-,-,-,-,-,-
Unavailable revenue,10951448.0,-,4476447.0,-,4896.0,554285.0,1265083.0,17252159.0
Total Deferred Inflows of Resources,10951448.0,-,4476447.0,-,4896.0,554285.0,1265083.0,17252159.0
FUND BALANCES,-,-,-,-,-,-,-,-
Nonspendable,-,-,-,-,-,-,1991263.0,1991263.0
Restricted,3648330.0,-,39884857.0,-,5505777.0,7956246.0,84483253.0,141478463.0
Assigned,2829511.0,-,-,-,-,10524900.0,-,13354411.0
Unassigned,39213698.0,-,-3199630.0,-,-,-51981.0,-4437438.0,31524649.0
Total Fund Balances,45691539.0,-,36685227.0,-,5505777.0,18429165.0,82037077.0,188348786.0
Total liabilities Deferred Inflows of,-,-,-,-,-,-,-,-
Resources and Fund Balances,94300985.0,-,46714964.0,-,6107866.0,19407048.0,86012549.0,252543412.0
The accompanying notes are an integral part of these financial statements.,-,-,5.0,-,-,-,-,-
