label,Governmental Activities,Business-Type Activities,Total,Rent Stabilization,Berkeley Housing Authority
Cash and investments,144885759.0,38314316.0,183200075.0,3666150.0,1303395.0
Receivables (net of allowance for uncollectibles),70123272.0,3369693.0,73492965.0,-,212807.0
Due from Component Unit,247077.0,-,247077.0,-,-
Due from Agency Funds,64810.0,-,64810.0,-,-
Internal balances,271128.0,-271128.0,-,-,-
Inventories,16986.0,-,16986.0,-,-
Property held for resale,458550.0,-,458550.0,-,-
Deferred costs,1283490.0,-,1283490.0,-,-
Restricted assets:,-,-,-,-,-
Cash and investments,4255485.0,12620752.0,16876237.0,-,7182519.0
Capital assets not being depreciated.,-,-,-,-,-
Land,22327797.0,2979050.0,25306847.0,-,2579621.0
Construction in progress,6134545.0,-,6134545.0,-,41787.0
Capital assets net of accumulated depreciation:,-,-,-,-,-
Buildings,71166267.0,26372658.0,97528926.0,-,2544780.0
Improvements other than buildings,7598626.0,5483445.0,13082071.0,-,57737.0
Machinery and equipment,11216139.0,1467442.0,12683580.0,56731.0,44833.0
Infrastructure,80508903.0,120931275.0,201440178.0,-,-
Net OPEB assets - Fire,79313.0,-,79313.0,-,-
Total assets,420628148.0,211267503.0,631895650.0,3722881.0,13967479.0
LIABILITIES,-,-,-,-,-
Accounts payable,5324119.0,2006183.0,7330302.0,61408.0,131387.0
Accrued salaries and wages,8163128.0,1926043.0,10089171.0,141082.0,-
Advances - Rent Registration,-,-,-,2776427.0,-
Due to primary government,-,-,-,-,247077.0
Other liabilities,29530489.0,1388701.0,30919190.0,229464.0,320416.0
Noncurrent liabilities (Note lil F);,-,-,-,-,-
Due within one year,12877650.0,1453089.0,14330739.0,19678.0,156611.0
Due in more than one year,129420215.0,37216039.0,166636253.0,239695.0,1507348.0
Total liabilities,185315601.0,43990054.0,229305654.0,3467754.0,2362839.0
NET ASSETS,-,-,-,-,-
Invested in capital assets net of related debt,131597270.0,133879724.0,265476993.0,56731.0,3696069.0
Restricted for:,-,-,-,-,-
Debt service,4255485.0,12620752.0,16876237.0,-,-
Other purposes,-,-,-,-,6764380.0
Unrestricted,99459793.0,20776974.0,120236766.0,198396.0,1144191.0
Total net assels,235312549.0,167277449.0,402589998.0,255127.0,11604640.0
The accompanying notes are an integral part of these financial statements.,-,-,-,-,-
