City of Berkeley,-,-,-,-,-,-,-,-,-,-
Statement of Activities,-,-,-,-,-,-,-,-,-,-
For the Year Ended June,-,-,-,-,302011.0,-,-,-,-,-
Net (Expense) Revenue and,-,-,-,-,-,-,-,-,-,-
Program Revenues Changes in Net Assets,-,-,-,-,-,-,-,-,-,-
Indirect Operating Capital Primary Govemment Component Units,-,-,-,-,-,-,-,-,-,-
Expenses Charges for Grants and Grants and Govemmental Business-Type Total _ Rent Berkeley,-,-,-,-,-,-,-,-,-,-
Functions/Programs Expenses Allocation Services Contnbutions Contributions Activities Activities Stabilization Housing Authonty,-,-,-,-,-,-,-,-,-,-
Primary Government:,-,-,-,-,-,-,-,-,-,-
Govermmental activities:,-,-,-,-,-,-,-,-,-,-
GGeneral government E,37642728.0,-4919603.0,3013989.0,44887.0,-,-29664248.0,-,-29664248.0,-,-
Public safety,92302278.0,-,13808972.0,632496.0,-,-77860810.0,-,-77860810.0,-,-
Highways and streets,13281305.0,124161.0,2414877.0,5452939.0,3249639.0,-2288011.0,-,-2288011.0,-,-
Health and welfare,21671819.0,-,1401541.0,18999866.0,-,-1270411.0,-,-1270411.0,-,-
Culture and recreation,34033319.0,-,3387609.0,165211.0,110554.0,-30369945.0,-,-30369945.0,-,-
Community development and housing,18820716.0,315989.0,2095751.0,10679983.0,-,-6360972.0,-,-6360972.0,-,-
Economic development,2745171.0,-,736560.0,-,-,-2008611.0,-,-2008611.0,-,-
Interest on long-term debt,4898759.0,-,-,-,-,-48987959.0,-,-4898759.0,-,-
Total governmental activities,225396094.0,-4479453.0,26859299.0,35975381.0,3360193.0,-154721768.0,-,-154721768.0,-,-
Business-type activities:,-,-,-,-,-,-,-,-,-,-
Parking related,6984781.0,-,9047693.0,-,-,-,2062912.0,2062912.0,-,-
Marina operations and maintenance,4717609.0,382030.0,4736825.0,135000.0,-,-,-227814.0,-227814.0,-,-
Sewer services,10814023.0,873487.0,12677638.0,-,-,-,990128.0,990128.0,-,-
Clean storm water,2199324.0,164545.0,2070815.0,-,-,-,-293054.0,-293054.0,-,-
Refuse services,32875889.0,2138960.0,33740848.0,-,-,-,-1274001.0,-1274001.0,-,-
Permit service center,8451470.0,920431.0,8487701.0,4323.0,-,-,-879877.0,-879877.0,-,-
Building purchase and management,3100961.0,-,3011690.0,-,-,-,-89271.0,-89271.0,-,-
| Total business-type activities,69144057.0,4479453.0,73773210.0,139323.0,-,-,289023.0,289023.0,-,-
~ Total primary government,294540150.0,-,100632509.0,36114704.0,3360193.0,-154721768.0,289023.0,-154432745.0,-,-
Component units:,-,-,-,-,-,-,-,-,-,-
Rent Stabilization,3666116.0,-,3909344.0,-,-,-,-,-,243228.0,-
Berkeley Housing Authority,25991132.0,-,230853.0,23172838.0,209074.0,-,-,-,-,-2378367.0
Total Component Units,29657248.0,-,4140197.0,23172838.0,209074.0,-,-,-,243228.0,-2378367.0
General revenues:,-,-,-,-,-,-,-,-,-,-
Taxes:,-,-,-,-,-,-,-,-,-,-
Property taxes levied for general purposes,-,-,-,-,-,50956374.0,-,50956374.0,-,-
Property taxes levied for debt service,-,-,-,-,-,8049862.0,-,8049862.0,-,-
Property taxes for special purposes:,-,-,-,-,-,-,-,-,-,-
Library,-,-,-,-,-,14159245.0,-,14159245.0,-,-
Parks,-,-,-,-,-,8915445.0,-,8915445.0,-,-
Paramedic,-,-,-,-,-,2377898.0,-,2377898.0,-,-
Fire,-,-,-,-,-,3629617.0,-,3629617.0,-,-
Sales taxes,-,-,-,-,-,14420383.0,-,14420383.0,-,-
Utility users taxes,-,-,-,-,-,14411756.0,-,14411756.0,-,-
Transient occupancy taxes,-,-,-,-,-,4698045.0,-,4698045.0,-,-
Business license tax,-,-,-,-,-,13954687.0,-,13954587.0,-,-
Other taxes,-,-,-,-,-,3180380.0,-,3180380.0,-,-
Unrestricted motor vehicle fees,-,-,-,-,-,8739449.0,-,8739449.0,-,-
Other unrestricted state subventions,-,-,-,-,-,388380.0,-,388380.0,-,-
Contributions not restncted to specific programs,-,-,-,-,-,547171.0,-,547171.0,-,-
Investment eamings,-,-,-,-,-,4735256.0,394257.0,5129613.0,-,-
Miscellaneous,-,-,-,-,-,1186207.0,-,1186207.0,-,183435.0
Gain on sales of capital assets,-,-,-,-,-,21820.0,5324.0,27144.0,-,-
Transfers:,-,-,-,-,-,-,-,-,-,-
o Primary government,-,-,-,-,-,304929.0,-304929.0,-,-,-
Total general revenues and transfers,-,-,-,-,-,154676803.0,94652.0,154771456.0,-,183435.0
Changes in net assets,-,-,-,-,-,-44966.0,383675.0,338710.0,243228.0,-2194932.0
3 Net assets-—-beginning (as restated),-,-,-,-,-,240048204.0,162792980.0,402841184.0,581832.0,7130460.0
Net assets--ending,-,-,-,-,-,240003238.0,163176655.0,403179893.0,825060.0,4935528.0
The accompanying notes are an integral part of these financial statements.,-,-,-,-,-,-,-,-,-,-
