City of Berkeley,-,-,-,-,-,-,-,-,-
Statement of Activities,-,-,-,-,-,-,-,-,-
For the year ended June,-,-,-,-,-,-,-,-,-
Net (Expense) Revenue and Changes in Net Position,-,-,-,-,-,-,-,-,-
Primary Government Component Unit,-,-,-,-,-,-,-,-,-
Indirect Operating Capital Rent,-,-,-,-,-,-,-,-,-
Expenses Charges for Grants and Grants and Governmental Business-Type Stabilization,-,-,-,-,-,-,-,-,-
Functions/Programs Expenses Allocation Services Contributions Contributions Activities Activities Total Board,-,-,-,-,-,-,-,-,-
Primary government,-,-,-,-,-,-,-,-,-
Governmental activities:,-,-,-,-,-,-,-,-,-
General government,41924841.0,-5747313.0,5236680.0,16683.0,-,-30924165.0,-,-30924165.0,-
Public safety,101655408.0,-,14387253.0,1026915.0,-,-86241240.0,-,-86241240.0,-
Highways and streets,15965710.0,85498.0,1355297.0,10340890.0,2609542.0,-1745479.0,-,-1745479.0,-
Health and welfare,23806106.0,-,1958225.0,20129846.0,-,-1718035.0,-,-1718035.0,-
Culture and recreation,37190348.0,-,2154058.0,90927.0,-,-34945363.0,-,-34945363.0,-
Community development and housing,20438352.0,132911.0,5267951.0,11288874.0,-,-4014438.0,-,-4014438.0,-
Economic development,2311510.0,-,43321.0,-,-,-2268189.0,-,-2268189.0,-
Interest on long-term debt,4595099.0,-,-,-,-,-4595099.0,-,-4595099.0,-
Total governmental activities,247887374.0,-5528904.0,30402785.0,42894135.0,2609542.0,-166452008.0,-,-166452008.0,-
Business-type activities:,-,-,-,-,-,-,-,-,-
Parking related,10701956.0,-,12396672.0,-,-,-,1694716.0,1694716.0,-
Marina operations and maintenance,5519809.0,507442.0,6435644.0,-,-,-,408393.0,408393.0,-
Sewer services,12093520.0,1049961.0,19868359.0,-,-,-,6724878.0,6724878.0,-
Clean storm water,2750134.0,225104.0,2064770.0,-,-,-,-910468.0,-910468.0,-
Refuse services,34490413.0,2474535.0,41846007.0,-,-,-,4881059.0,4881059.0,-
Permit service center,13395996.0,1271862.0,18579481.0,5250.0,-,-,3916873.0,3916873.0,-
Building purchase and management,2814061.0,-,1978447.0,-,-,-,-835614.0,-835614.0,-
Total business-type activities,81765889.0,5528904.0,103169380.0,5250.0,-,-,15879837.0,15879837.0,-
Total primary government,329653263.0,-,133572165.0,42899385.0,2609542.0,-166452008.0,15879837.0,-150572171.0,-
Component unit:,-,-,-,-,-,-,-,-,-
Rent stabilization board,4839560.0,-,4778411.0,-,-,-,-,-,-61149.0
Total component unit,4839560.0,-,4778411.0,-,-,-,-,-,-61149.0
General Revenues,-,-,-,-,-,-,-,-,-
Taxes:,-,-,-,-,-,-,-,-,-
Property taxes levied for general purposes,-,-,-,-,-,83758114.0,-,83758114.0,-
Property taxes levied for debt services,-,-,-,-,-,7803416.0,-,7803416.0,-
Property taxes levied for special purposes:,-,-,-,-,-,-,-,-,-
Library,-,-,-,-,-,18125394.0,-,18125394.0,-
Parks,-,-,-,-,-,12307839.0,-,12307839.0,-
Paramedic,-,-,-,-,-,2822459.0,-,2822459.0,-
Fire,-,-,-,-,-,4643707.0,-,4643707.0,-
Sales taxes,-,-,-,-,-,17944285.0,-,17944285.0,-
Utility users taxes,-,-,-,-,-,15199534.0,-,15199534.0,-
Transient occupancy taxes,-,-,-,-,-,7753933.0,-,7753933.0,-
Business license tax,-,-,-,-,-,19500558.0,-,19500558.0,-
Other taxes,-,-,-,-,-,7617254.0,-,7617254.0,-
Total taxes,-,-,-,-,-,199476493.0,-,199476493.0,-
Other unrestricted state subventions,-,-,-,-,-,387332.0,-,387332.0,-
Contributions not restricted to specific programs,-,-,-,-,-,362374.0,-,362374.0,-
Investment earnings,-,-,-,-,-,1821527.0,123865.0,1945392.0,-
Miscellaneous,-,-,-,-,-,4671918.0,-,4671918.0,-
Transfers,-,-,-,-,-,-,-,-,-
Primary government,-,-,-,-,-,92978.0,-92978.0,-,-
Total general revenues and transfers,-,-,-,-,-,206812622.0,30887.0,206843509.0,-
Changes 1n net position,-,-,-,-,-,40360614.0,15910724.0,56271338.0,-61149.0
Net position - beginning as restated,-,-15.0,-,-,-,-103046778.0,141067076.0,38020298.0,-5250494.0
Net position - ending,-,-,-,-,-,-62686164.0,156977800.0,94291636.0,-5311643.0
The accompanying notes are an integral part of these financial statements,-,-,-,-,-,-,-,-,-
