City of Berkeley,-,-,-,-,-,-,-,-,-
Statement of Activities,-,-,-,-,-,-,-,-,-
For the Year Ended June,-,-,-,-,302014.0,-,-,-,-
Net (Expense) Revenue and,-,-,-,-,-,-,-,-,-
Program Revenues Changes in Net Position,-,-,-,-,-,-,-,-,-
Indirect Operating Capital Primary Government Component Units,-,-,-,-,-,-,-,-,-
Expenses Charges for Grants and Grants and Governmental Business-Type Total Rent,-,-,-,-,-,-,-,-,-
Functions/Programs Expenses Allocation Services Contributions Contributions Activities Activities Stabilization,-,-,-,-,-,-,-,-,-
Primary Government:,-,-,-,-,-,-,-,-,-
Governmental activities:,-,-,-,-,-,-,-,-,-
General government,34541868.0,-4402745.0,3794993.0,3271.0,-,-26340859.0,-,-26340859.0,-
Public safety,95581595.0,-,14294277.0,759732.0,-,-80527587.0,-,-80527587.0,-
Highways and streets,14653299.0,79056.0,2507375.0,7329034.0,2421781.0,-2474165.0,-,-2474165.0,-
Health and welfare,20035232.0,-,1612417.0,16119220.0,-,-2303595.0,-,-2303599.0,-
Culture and recreation,36753573.0,-,2268394.0,54787.0,-,-34430393.0,-,-34430393.0,-
Community development and housing,17653257.0,140528.0,3049266.0,8797983.0,-,-5946536.0,-,-5946536.0,-
Economic development,3112661.0,-,639700.0,-,-,-2472960.0,-,-2472960.0,-
Interest on long-term debt,5458242.0,-,-,-,-,-5458242.0,-,-5458242.0,-
Total governmental activities,227789728.0,-4183161.0,28166422.0,33064026.0,2421781.0,-159954338.0,-,-159954338.0,-
Business-type activities:,-,-,-,-,-,-,-,-,-
Parking related,8420892.0,-,11717962.0,-,-,-,3297070.0,3297070.0,-
Marina operations and maintenance,5301590.0,346664.0,5477565.0,-,-,-,-170689.0,-170689.0,-
Sewer services,12311909.0,911223.0,13394617.0,-,-,-,171485.0,171485.0,-
Clean storm water,2878122.0,203013.0,2067572.0,-,-,-,-1013563.0,-1013563.0,-
Refuse services,29975520.0,1960606.0,34246485.0,-,-,-,2310359.0,2310359.0,-
Permit service center,9485919.0,761655.0,14848940.0,41575.0,-,-,4642941.0,4642941.0,-
Building purchase and management,2932886.0,-,2212217.0,-,-,-,-720669.0,-720669.0,-
Total business-type activities,71306839.0,4183161.0,83965358.0,41575.0,-,-,8516934.0,8516934.0,-
Total primary government,299096567.0,-,112131779.0,33105601.0,2421781.0,-159954338.0,8516934.0,-151437404.0,-
O,-,-,-,-,-,-,-,-,-
Component units:,-,-,-,-,-,-,-,-,-
Rent Stabilization,3848067.0,-,3899835.0,-,-,-,-,-,51768.0
Total Component Units,3848067.0,-,3899835.0,-,-,-,-,-,51768.0
General revenues:,-,-,-,-,-,-,-,-,-
Taxes:,-,-,-,-,-,-,-,-,-
Property taxes levied for general purposes,-,-,-,-,-,70348949.0,-,70348949.0,-
Property taxes levied for debt service,-,-,-,-,-,7684617.0,-,7684617.0,-
Property taxes for special purposes:,-,-,-,-,-,-,-,-,-
Library,-,-,-,-,-,15971859.0,-,15971859.0,-
Parks,-,-,-,-,-,9652446.0,-,9652446.0,-
Paramedic,-,-,-,-,-,2586719.0,-,2586719.0,-
Fire,-,-,-,-,-,4119965.0,-,4119965.0,-
Sales taxes,-,-,-,-,-,16583124.0,-,16583124.0,-
Utility users taxes,-,-,-,-,-,14387874.0,-,14387874.0,-
Transient occupancy taxes,-,-,-,-,-,6245833.0,-,6245833.0,-
Business license tax,-,-,-,-,-,15370377.0,-,15370377.0,-
Other taxes,-,-,-,-,-,3135412.0,-,3135412.0,-
Other unrestricted state subventions,-,-,-,-,-,400987.0,-,400987.0,-
Contributions not restricted to specific programs,-,-,-,-,-,1226855.0,-,1226855.0,-
Investment earnings,-,-,-,-,-,4125873.0,387021.0,4512894.0,-
Miscellaneous,-,-,-,-,-,6924698.0,-,6924698.0,-
Gain on sales of capital assets,-,-,-,-,-,1156367.0,3293.0,1159660.0,-
Transfers:,-,-,-,-,-,-,-,-,-
Primary government,-,-,-,-,-,1249232.0,-1249232.0,-0.0,-
Total general revenues and transfers,-,-,-,-,-,181171188.0,-858917.0,180312270.0,-
Changes in Net Position,-,-,-,-,-,21216848.0,7658016.0,28874864.0,51768.0
Net Position--beginning (as restated),-,-,-,-,-,251983208.0,163905422.0,415888630.0,770548.0
Net Position--ending,-,-,-,-,-,273200056.0,171563438.0,444763493.0,822316.0
The accompanying notes are an integral part of these financial statements.,-,-,-,-,-,-,-,-,-
