City of Berkeley,-,-,-,-,-,-,-,-
Balance Sheet,-,-,-,-,-,-,-,-
Governmental Funds,-,-,-,-,-,-,-,-
June,-,-,-,-,-,-,-,-
Special Revenue Capital Project,-,-,-,-,-,-,-,-
Other Total,-,-,-,-,-,-,-,-
General Capital Governmental Governmental,-,-,-,-,-,-,-,-
Fund Grants Library Improvement Funds Funds,-,-,-,-,-,-,-,-
ASSETS,-,-,-,-,-,-,-,-
Cash and investments in treasury,59333686.0,-,12813101.0,-,4973490.0,5691801.0,39582005.0,122394083.0
Restricted Cash and investments,-,-,-,-,-,-,895640.0,895640.0
Receivables (net of allowance,-,-,-,-,-,-,-,-
where applicable):,-,-,-,-,-,-,-,-
Accounts,12666242.0,-,471082.0,-,9611.0,-,1339835.0,14486771.0
Interest,542104.0,-,-,-,-,547553.0,260432.0,1350088.0
Taxes,6183856.0,-,-,-,190287.0,-,147944.0,6522087.0
Special assessments,-,-,-,-,-,-,185859.0,185859.0
Subventions/grants,-,-,7202019.0,-,-,-,468810.0,7670829.0
Due from other funds,5327763.0,-,-,-,-,3368463.0,-,8696226.0
Notes receivable,3648330.0,-,24318825.0,-,-,8609300.0,19890042.0,56466498.0
Other,552577.0,-,7776.0,-,-,-,-,560353.0
Total Assets,88254557.0,-,44812803.0,-,5173388.0,18217118.0,62770568.0,219228434.0
LIABILITIES,-,-,-,-,-,-,-,-
Accounts payable,4771214.0,-,869432.0,-,294179.0,609544.0,1232380.0,7776749.0
Accrued salaries and wages,2455543.0,-,222068.0,-,268345.0,34019.0,623308.0,3603282.0
Due to other funds,-,-,6971267.0,-,-,-,1183643.0,8154910.0
Deposits held,901527.0,-,-,-,-,12933.0,78597.0,993057.0
Unearned revenues,-,-,344735.0,-,47491.0,-,47109.0,439335.0
Tax and revenue anticipation note,25000000.0,-,-,-,-,-,-,25000000.0
Other liabilities,3146324.0,-,17253.0,-,-,-,-,3163577.0
Total Liabilities,36274607.0,-,8424755.0,-,610014.0,656496.0,3165037.0,49130910.0
DEFERRED INFLOWS OF RESOURCES,-,-,-,-,-,-,-,-
Unavailable revenue,11067821.0,-,4373480.0,-,9611.0,502303.0,1233052.0,17186268.0
Total Deferred Inflows of Resources,11067821.0,-,4373480.0,-,9611.0,502303.0,1233052.0,17186268.0
FUND BALANCES,-,-,-,-,-,-,-,-
Nonspendable,-,-,-,-,-,-,1991263.0,1991263.0
Restricted,3648330.0,-,37815478.0,-,4553762.0,8609300.0,54556521.0,109183393.0
Committed,-,-,-,-,-,-,2761737.0,2761737.0
Assigned,2002369.0,-,-,-,-,8449018.0,-,10451387.0
Unassigned,35261429.0,-,-5800910.0,-,-,-,-937043.0,28523476.0
Total Fund Balances,40912129.0,-,32014568.0,-,4553762.0,17058318.0,58372479.0,152911257.0
Total liabilities Deferred Inflows of,-,-,-,-,-,-,-,-
Resources and Fund Balances,88254557.0,-,44812803.0,-,5173388.0,18217118.0,62770568.0,219228434.0
The accompanying notes are an integral part of these financial statements.,-,-,-,-,-,-,-,-
