City of Berkeley,-,-,-,-,-,-
Balance Sheet,-,-,-,-,-,-
Governmental Funds,-,-,-,-,-,-
June,-,-,-,-,-,-
Major Funds,-,-,-,-,-,-
Other Total,-,-,-,-,-,-
General Capital Governmental Governmental,-,-,-,-,-,-
Fund Grants Library Improvement Funds Funds,-,-,-,-,-,-
Assets,-,-,-,-,-,-
Cash and investments in treasury,65890573.0,20781307.0,9257053.0,6875078.0,89566582.0,192370593.0
Restricted cash and investments,17000000.0,-,-,-,414835.0,17414835.0
Receivables (net of allowance,-,-,-,-,-,-
where applicable):,-,-,-,-,-,-
Accounts,8777152.0,481920.0,-,-,648693.0,9907765.0
Interest,525743.0,-,-,-,525998.0,1051741.0
Taxes,8109073.0,-,241721.0,-,1379016.0,9729810.0
Special assessments,-,-,-,-,225446.0,225446.0
Subventions/grants,-,8064175.0,-,-,1663673.0,727848.0
Due from other funds,3751956.0,-,-,3906619.0,45207.0,7703782.0
Notes receivable,4255304.0,29975112.0,-,8019032.0,18196238.0,60445686.0
Other,4812.0,1827389.0,-,-,52256.0,1884457.0
Property held for resale,-,-,-,-,713313.0,713313.0
Prepaid,75000.0,-,-,-,894467.0,969467.0
Total assets,108389613.0,61129903.0,9498774.0,18800729.0,114325724.0,312144743.0
Liabilities,-,-,-,-,-,-
Accounts payable,4343559.0,1268138.0,2397767.0,487905.0,3962291.0,10301660.0
Accrued salaries and wages,5169148.0,505719.0,614374.0,72134.0,1255599.0,7616974.0
Advances from other funds,6683398.0,-,-,-,-,6683398.0
Due to other funds,-,6307309.0,-,-,1396473.0,7703782.0
Deposits held,904646.0,-,-,12933.0,136242.0,1053821.0
Unearned revenues,-,261740.0,31464.0,-,6264.0,299468.0
Taxes and revenue anticipation note,17000000.0,-,-,-,-,17000000.0
Other liabilities,2922981.0,-,-,-,-,2922981.0
Total liabilities,37023732.0,8342906.0,885605.0,572972.0,6756869.0,53582084.0
Deferred Inflows of Resources,-,-,-,-,-,-
Unavailable revenue,7707445.0,8915128.0,3186.0,554285.0,2017675.0,18797719.0
Total deferred inflows of resources,7707445.0,8915128.0,3186.0,554285.0,2017675.0,18797719.0
Fund Balances,-,-,-,-,-,-
Nonspendable,75000.0,-,-,-,894467.0,969467.0
Restricted,4255304.0,49715898.0,8609983.0,8019032.0,105216263.0,175816480.0
Assigned,3015329.0,-,-,654440.0,-,12669769.0
Unassigned,56312803.0,-5444029.0,-,-,-559550.0,50309224.0
Total fund balances,63658436.0,44271869.0,8609983.0,17673472.0,105551180.0,239764940.0
Total liabilities deferred inflows of,-,-,-,-,-,-
resources and fund balances,108389613.0,61129903.0,498774.0,18800729.0,114325724.0,312144743.0
The accompanying notes are an integral part of these financial statements,-,-,-,-,-,-
