City of Berkeley,-,-,-,-,-,-,-,-,-
Statement of Activities,-,-,-,-,-,-,-,-,-
For the Year Ended June,-,-,-,-,302013.0,-,-,-,-
Net (Expense) Revenue and,-,-,-,-,-,-,-,-,-
Program Revenues Changes in Net Assets,-,-,-,-,-,-,-,-,-
Indirect Operating Capital Primary Government Component Units,-,-,-,-,-,-,-,-,-
Expenses Charges for Grants and Grants and Governmental Business-Type Total Rent,-,-,-,-,-,-,-,-,-
Functions/Programs Expenses Allocation Services Contributions Contributions Activities Activities Stabilization,-,-,-,-,-,-,-,-,-
Primary Government:,-,-,-,-,-,-,-,-,-
Governmental activities:,-,-,-,-,-,-,-,-,-
General government,35054881.0,-4362436.0,3774777.0,-,-,-26917667.0,-,-26917667.0,-
Public safety,94011336.0,-,18684450.0,597721.0,-,-74729165.0,-,-74729165.0,-
Highways and streets,13354144.0,106480.0,2015313.0,6099785.0,3037252.0,-2308274.0,-,-2308274.0,-
Health and welfare,19700947.0,-,1471882.0,15217582.0,-,-3011483.0,-,-3011483.0,-
Culture and recreation,36489886.0,-,3319845.0,55026.0,376539.0,-32738475.0,-,-32738475.0,-
Community development and housing,15912516.0,127510.0,2176943.0,7581788.0,-,-6281295.0,-,-6281295.0,-
Economic development,3506704.0,-,518561.0,-,-,-2988143.0,-,-2988143.0,-
Interest on long-term debt,4455553.0,-,-,-,-,-4455553.0,-,-4455553.0,-
Total governmental activities,222485967.0,-41284406.0,31961772.0,29551902.0,3413791.0,-153430056.0,-,-153430056.0,-
Business-type activities:,-,-,-,-,-,-,-,-,-
Parking related,8468678.0,-,10274629.0,-,-,-,1805951.0,1805951.0,-
Marina operations and maintenance,5308483.0,339938.0,5242568.0,80155.0,-,-,-325698.0,-325698.0,-
Sewer services,11515774.0,884984.0,13271175.0,-,-,-,870417.0,870417.0,-
Clean storm water,2296339.0,150694.0,2070413.0,-,-,-,-376620.0,-376620.0,-
Refuse services,31127592.0,2014903.0,33346812.0,-,-,-,204318.0,204318.0,-
Permit service center,8843102.0,737928.0,9995079.0,29069.0,-,-,443119.0,443119.0,-
Building purchase and management,3392344.0,-,2632538.0,-,-,-,-759807.0,-759807.0,-
Total business-type activities,70952312.0,4128446.0,76833214.0,109224.0,-,-,1861681.0,1861681.0,-
Total primary government,293438279.0,-,108794986.0,29661125.0,3413791.0,-153430056.0,1861681.0,-151568375.0,-
Component units:,-,-,-,-,-,-,-,-,-
Rent Stabilization,4025211.0,-,3911005.0,-,-,-,-,-,-114206.0
Total Component Units,4025211.0,-,3911006.0,-,-,-,-,-,-114206.0
General revenues:,-,-,-,-,-,-,-,-,-
Taxes:,-,-,-,-,-,-,-,-,-
Property taxes levied for general purposes,-,-,-,-,-,65118610.0,-,65118610.0,-
Property taxes levied for debt service,-,-,-,-,-,6479721.0,-,6479721.0,-
Property taxes for special purposes:,-,-,-,-,-,-,-,-,-
Library,-,-,-,-,-,15273714.0,-,15273714.0,-
Parks,-,-,-,-,-,9483390.0,-,9483390.0,-
Paramedic,-,-,-,-,-,2537917.0,-,2537917.0,-
Fire,-,-,-,-,-,3926460.0,-,3926460.0,-
Sales taxes,-,-,-,-,-,15925900.0,-,15925900.0,-
Utility users taxes,-,-,-,-,-,14363898.0,-,14363898.0,-
Transient occupancy taxes,-,-,-,-,-,5555601.0,-,5555601.0,-
Business license tax,-,-,-,-,-,15266649.0,-,15266649.0,-
Other taxes,-,-,-,-,-,3995492.0,-,3995492.0,-
Other unrestricted state subventions,-,-,-,-,-,397143.0,-,397143.0,-
Contributions not restricted to specific programs,-,-,-,-,-,751041.0,-,751041.0,-
Investment earnings,-,-,-,-,-,2273001.0,126400.0,2399401.0,-
Miscellaneous,-,-,-,-,-,1448935.0,-,1448935.0,-
Gain on sales of capital assets,-,-,-,-,-,74922.0,2006.0,76928.0,-
Transfers:,-,-,-,-,-,-,-,-,-
Primary government,-,-,-,-,-,1484222.0,-1484222.0,-,-
Total general revenues and transfers,-,-,-,-,-,164356615.0,-1355816.0,163000799.0,-
Changes in Net Position,-,-,-,-,-,10926558.0,505863.0,11432421.0,-114206.0
Net Position--beginning (as restated),-,-,-,-,-,241093311.0,163470366.0,404563677.0,884754.0
Net Position--ending,-,-,-,-,-,252019869.0,163976229.0,415996098.0,770548.0
The accompanying notes are an integral part of these financial statements.,-,-,-,-,-,-,-,-,47.0
