City of Berkeley,-,-,-,-,-,-,-,-
Balance Sheet,-,-,-,-,-,-,-,-
Governmental Funds,-,-,-,-,-,-,-,-
June,-,-,-,-,-,-,-,-
Special Revenue Capital Project,-,-,-,-,-,-,-,-
Other Total,-,-,-,-,-,-,-,-
General Capital Governmental Governmental,-,-,-,-,-,-,-,-
Fund Grants Library Improvement Funds Funds,-,-,-,-,-,-,-,-
ASSETS,-,-,-,-,-,-,-,-
Cash and investments in treasury,49537312.0,-,17509523.0,-,6480455.0,11685482.0,64862777.0,150075549.0
Restricted Cash and investments,24995000.0,-,-,-,-,-,413027.0,25408027.0
Receivables (net of allowance,-,-,-,-,-,-,-,-
where applicable):,-,-,-,-,-,-,-,-
Accounts,6309676.0,-,156082.0,-,3556.0,-,2203527.0,8672842.0
Interest,506531.0,-,-,-,-,41225.0,385078.0,32834.0
Taxes,6328978.0,-,-,-,160339.0,-,173892.0,6663208.0
Special assessments,-,-,-,-,-,-,165669.0,165669.0
Subventions/grants,-,-,6755341.0,-,-,-,1649891.0,8405232.0
Due from other funds,4465438.0,-,-,-,-,1667576.0,-,6033014.0
Notes receivable,3648330.0,-,26389120.0,-,-,7955852.0,16772463.0,54765765.0
Other,477281.0,-,7777.0,-,17279.0,-,45201.0,547539.0
Property held for resale,-,-,-,-,-,-,713313.0,713313.0
Total Assets,96268545.0,-,50817844.0,-,6661630.0,21250134.0,87374837.0,262372991.0
LIABILITIES,-,-,-,-,-,-,-,-
Accounts payable,5499728.0,-,777361.0,-,164984.0,554581.0,2054559.0,9051213.0
Accrued salaries and wages,3530500.0,-,307807.0,-,389211.0,31674.0,1075370.0,5334562.0
Due to other funds,-,-,4338440.0,-,-,-,1666791.0,6005231.0
Deposits held,882692.0,-,-,-,-,12933.0,136624.0,1032249.0
Unearned revenues,-,-,357037.0,-,30000.0,-,61045.0,448082.0
Tax and revenue anticipation note,24995000.0,-,-,-,-,-,-,24995000.0
Other liabilities,3678334.0,-,-,-,-,-,148568.0,3726902.0
Total Liabilities,38486253.0,-,5780644.0,-,584194.0,599188.0,5142958.0,50593236.0
DEFERRED INFLOWS OF RESOURCES,-,-,-,-,-,-,-,-
Unavailable revenue,4493241.0,-,5839414.0,-,3556.0,554285.0,1954146.0,12844642.0
Total Deferred Inflows of Resources,4493241.0,-,5839414.0,-,3556.0,554285.0,1954146.0,12844642.0
FUND BALANCES,-,-,-,-,-,-,-,-
Nonspendable,-,-,-,-,-,-,3024783.0,3024783.0
Restricted,3648330.0,-,43397509.0,-,6073880.0,7955852.0,78165195.0,139240766.0
Assigned,3830670.0,-,-,-,-,12140810.0,-,15971480.0
Unassigned,45810050.0,-,-4199723.0,-,-,-,-912245.0,40698082.0
Total Fund Balances,53289050.0,-,39197787.0,-,6073880.0,20096662.0,80277733.0,198935113.0
Total liabilities Deferred inflows of,-,-,-,-,-,-,-,-
Resources and Fund Balances $ 06268544 $ 50817844 d,-,-,-,-,6661630.0,21250134.0,87374837.0,262372991.0
The accompanying notes are an integral part of these financial statements.,-,-,2.0,-,-,-,-,-
o,-,-,-,-,-,-,-,-
