City of Berkeley,-,-,-,-,-,-,-,-,-,-
Statement of Activities,-,-,-,-,-,-,-,-,-,-
For the Year Ended June,-,-,-,-,302009.0,-,-,-,-,-
Net (Expense) Revenue and,-,-,-,-,-,-,-,-,-,-
Program Revenues Changes in Net Assets,-,-,-,-,-,-,-,-,-,-
indirect Operating Capital Primary Government Component Units,-,-,-,-,-,-,-,-,-,-
Expenses Charges for Grants and Grants and Govemmental Business-Type Total Rent Berkeley,-,-,-,-,-,-,-,-,-,-
Functions/Programs Expenses Allocation Services Contributions Contributions Activities Activities Stabilization Housing Authority,-,-,-,-,-,-,-,-,-,-
Primary Government:,-,-,-,-,-,-,-,-,-,-
Governmental activities:,-,-,-,-,-,-,-,-,-,-
Generai government,34653701.0,-5387536.0,3054674.0,43260.0,-,-26168231.0,3.0,-26168231.0,-,3.0
Public safety,83172996.0,-,15514920.0,549970.0,-,-67108106.0,-,-67108106.0,-,-
Highways and streets,12975758.0,127487.0,1505087.0,4081242.0,5794083.0,-1722835.0,-,-1722835.0,-,-
Health and welfare,30156828.0,-,1142886.0,18233609.0,-,-10780324.0,-,-10780324.0,-,-
Cutture and recreation,32637740.0,-,3027156.0,176327.0,4456.0,-29429801.0,-,-29429801.0,-,-
Community development/housing,198535835.0,238789.0,1525429.0,8254185.0,-,-9985111.0,-,-9995111.0,-,-
Economic development,3412478.0,-,771563.0,-,-,-2640914.0,-,-2640914.0,-,-
interest on long-term debt,4333851.0,-,-,-,-,4333851.0,-,-4333851.0,-,-
Total govemnmental activities,220879288.0,-5021260.0,26641724.0,31338593.0,5798539.0,-152179172.0,-,-152179172.0,-,-
Business-type activities:,-,-,-,-,-,-,-,-,-,-
Parking related,7579581.0,-,7491363.0,-,-,-,-88218.0,-88218.0,-,-
Marina operations and maintenance,4242494.0,318797.0,5343851.0,-,-,-,782560.0,782560.0,-,-
Sewer services,10172135.0,852384.0,13864952.0,-,-,-,2840433.0,2840433.0,-,-
Clean storm water,2630675.0,251581.0,2026307.0,-,-,-,-855949.0,-855949.0,-,-
Refuse services,30703874.0,2436082.0,29292344.0,-,-,-,-3847712.0,-3847712.0,-,-
Permit service center,9561569.0,1162416.0,10137535.0,20297.0,-,-,-566153.0,-566153.0,-,-
Building purchase and management,2875534.0,-,2823964.0,-,-,-,48430.0,48430.0,-,-
Total business-type activities,67765862.0,5021260.0,71080316.0,20297.0,-,-,-1686609.0,-1686609.0,-,-
Total primary govemment,288645249.0,30.0,97622040.0,313588380.0,5798539.0,-152179172.0,-1686609.0,-153865781.0,-,-
Component units:,-,-,-,-,-,-,-,-,-,-
Rent Stabilization,3585985.0,-,3416960.0,-,-,-,-,-,-169025.0,-
Berkeley Housing Authority,22688077.0,-,342415.0,23028596.0,105898.0,-,-,-,-,788832.0
Total Component Units,26274062.0,-,3759375.0,23028596.0,105898.0,-,-,-,-169025.0,788832.0
General revenues:,-,-,-,-,-,-,-,-,-,-
Taxes:,-,-,-,-,-,-,-,-,-,-
Property taxes levied for general purposes,-,-,-,-,-,40846421.0,-,49946421.0,-,-
Propenrly taxes levied for debt service,-,-,-,-,-,8625163.0,-,8625163.0,-,-
Property taxes for special purposes:,-,-,-,-,-,-,-,-,-,-
Library,-,-,-,-,-,13624572.0,-,13624572.0,-,-
Parks,-,-,-,-,-,8568098.0,-,8568008.0,-,-
Paramedic,-,-,-,-,-,2286603.0,-,2286603.0,-,-
Sales taxes,-,-,-,-,-,13907221.0,-,13907221.0,-,-
Utility users taxes,-,-,-,-,-,14669480.0,-,14669480.0,-,-
Transient occupancy taxes,-,-,-,-,-,3671362.0,-,3671362.0,-,-
Business license tax,-,-,-,-,-,13388429.0,-,13388429.0,-,-
QOther taxes,-,-,-,-,-,3318326.0,-,3318326.0,-,-
Unrestricted motor vehicle fees,-,-,-,-,-,8453191.0,-,8453181.0,-,-
Other unrestricted state subventions,-,-,-,-,-,372325.0,-,372325.0,-,-
Contributions not restricted to specific programs,-,-,-,-,-,194860.0,-,194860.0,-,-
Investment eamings,-,-,-,-,-,9433566.0,820612.0,10354178.0,-,648488.0
Miscellaneous,-,-,-,-,-,1871221.0,-,1871221.0,-,-
Loss on sales of capital assets,-,-,-,-,-,-694577.0,2109.0,-592468.0,-,-
| Transfers:,-,-,-,-,-,-,-,-,-,-
Primary government,-,-,-,-,-,707428.0,-707429.0,-,-,-
Totail general revenues special items and transfers,-,-,-,-,-,152443690.0,215292.0,152658982.0,-,648488.0
Changes in net assets,-,-,-,-,-,264520.0,-1471317.0,-1206797.0,-169025.0,1437320.0
Net assets-—-beginning {(as restated),-,-,-,-,-,235048029.0,168748766.0,403796795.0,424153.0,10167320.0
Net assets-—-ending,-,-,-,-,-,235312549.0,167277448.0,402589998.0,255127.0,11604640.0
I~,-,-,-,-,-,-,-,-,-,-
N,-,-,-,-,-,-,-,-,-,-
The accompanying notes are an integral part of these financial statements.,-,-,-,-,-,-,-,-,-,-
